,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID
0,Kennen,CuVee,TOP,,2,0,3,Perfect KDA,425,6,3,11.4,17007,455,22.6%,,23,4,7,,,0.62,0.19,0.11,,19955,11450,7897,608,534,32.5%,0.13,71.4%,,1,0,0,0,670,29,260,0,,,,,,,,,,,,,,,,Samsung Galaxy,WIN,9075
1,Zac,Ambition,JUNGLE,,0,0,7,Perfect KDA,165,89,17,4.4,12579,336,16.7%,,28,13,10,,,0.75,0.27,0.35,,2524,252,2238,34,68,4.1%,0.19,100%,,0,0,0,0,672,15,903,1,,,,,,,,,,,,,,,,Samsung Galaxy,WIN,9075
2,Malzahar,Crown,MID,,3,0,3,Perfect KDA,359,9,6,9.6,15932,426,21.2%,,28,12,10,,,0.75,0.27,0.32,,16343,167,16168,8,437,26.7%,0.16,85.7%,,0,0,0,0,-493,-17,-218,0,,,,,,,,,,,,,,,,Samsung Galaxy,WIN,9075
3,Xayah,Ruler,ADC,,2,0,5,Perfect KDA,411,11,7,11,17539,469,23.3%,,22,25,11,,,0.59,0.29,0.67,,21146,19402,1340,404,566,34.5%,0.19,100%,,0,0,0,0,455,0,126,1,,,,,,,,,,,,,,,,Samsung Galaxy,WIN,9075
4,Janna,CoreJJ,SUPPORT,,0,0,7,Perfect KDA,20,0,0,0.5,12211,327,16.2%,,36,15,10,,,0.96,0.27,0.4,,1355,87,856,412,36,2.2%,0.19,100%,,0,0,0,0,427,3,413,0,,,,,,,,,,,,,,,,Samsung Galaxy,WIN,9075
5,Gnar,Huni,TOP,,0,1,0,0,365,6,0,9.8,13529,362,21.9%,,16,3,0,,,0.43,0,0.08,,11883,8972,2911,0,318,33.4%,0,0%,,0,0,0,0,-670,-29,-260,0,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9075
6,Gragas,Peanut,JUNGLE,,0,2,0,0,141,72,4,3.8,10030,268,16.2%,,37,13,10,,,0.99,0.27,0.35,,3648,80,3530,38,98,10.3%,0,0%,,0,0,0,0,-672,-15,-903,-1,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9075
7,Cassiopeia,Faker,MID,,0,2,0,0,398,11,3,10.6,14529,389,23.5%,,18,10,2,,,0.48,0.05,0.27,,9039,140,8774,125,242,25.4%,0,0%,,0,0,0,0,493,17,218,0,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9075
8,Varus,Bang,ADC,,0,1,0,0,378,13,0,10.1,13679,366,22.1%,,17,5,3,,,0.45,0.08,0.13,,8902,6372,2156,374,238,25%,0,0%,,0,0,0,0,-455,0,-126,-1,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9075
9,Lulu,Wolf,SUPPORT,,0,1,0,0,17,0,0,0.5,10072,269,16.3%,,54,14,18,,,1.44,0.48,0.37,,2100,340,1747,13,56,5.9%,0,0%,,0,0,0,0,-427,-3,-413,0,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9075
