,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID,Tournamets,Patch,Date
0,Kennen,Vizicsacsi,TOP,,3,4,2,1.3,387,2,4,8,17585,364,21.6%,,30,15,7,,,0.62,0.14,0.31,,25861,1913,23823,125,535,24.2%,0.1,45.5%,1,0,0,0,0,157,30,-214,-1,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,5278,IEM Oakland 2016,6.21,2016-11-21
1,Olaf,Move,JUNGLE,,1,2,5,3,170,105,16,3.5,14799,306,18.2%,,28,20,5,,,0.58,0.1,0.41,,12646,7353,1194,4099,262,11.9%,0.12,54.5%,,0,0,0,0,-1040,-19,-1062,-1,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,5278,IEM Oakland 2016,6.21,2016-11-21
2,Orianna,Exile,MID,,6,1,4,10,427,23,6,8.8,19432,402,23.9%,,24,19,9,,,0.5,0.19,0.39,,26412,1205,24882,325,546,24.8%,0.21,90.9%,1,1,0,0,0,-47,-1,637,0,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,5278,IEM Oakland 2016,6.21,2016-11-21
3,Caitlyn,Veritas,ADC,,1,3,6,2.3,404,30,9,8.4,18135,375,22.3%,,15,5,1,,,0.31,0.02,0.1,,32554,30819,1099,636,674,30.5%,0.14,63.6%,,0,0,0,0,-887,-8,-96,0,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,5278,IEM Oakland 2016,6.21,2016-11-21
4,Bard,Hylissang,SUPPORT,,0,4,5,1.3,22,0,1,0.5,11500,238,14.1%,,68,15,17,,,1.41,0.35,0.31,,9181,1795,7386,0,190,8.6%,0.1,45.5%,,0,0,0,0,-211,-9,-258,-1,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,5278,IEM Oakland 2016,6.21,2016-11-21
5,Poppy,MMD,TOP,,2,2,5,3.5,370,2,3,7.7,18445,382,20.4%,,30,10,8,,,0.62,0.17,0.21,,19772,15555,4087,130,409,16.2%,0.14,50%,1,0,0,0,0,-157,-30,214,1,,,,,,,,,,,,,,,,Flash Wolves,WIN ,5278,IEM Oakland 2016,6.21,2016-11-21
6,Nidalee,Karsa,JUNGLE,,5,3,5,3.3,273,140,32,5.6,19493,403,21.5%,,42,27,9,,,0.87,0.19,0.56,,29339,894,27051,1394,607,24.1%,0.21,71.4%,1,0,0,0,0,1040,19,1062,1,,,,,,,,,,,,,,,,Flash Wolves,WIN ,5278,IEM Oakland 2016,6.21,2016-11-21
7,VelKoz,Maple,MID,,5,3,4,3,363,9,1,7.5,18612,385,20.5%,,26,7,6,,,0.54,0.12,0.14,,48365,149,40991,7225,1001,39.7%,0.19,64.3%,,0,0,0,0,47,1,-637,0,,,,,,,,,,,,,,,,Flash Wolves,WIN ,5278,IEM Oakland 2016,6.21,2016-11-21
8,Ashe,DoubleRed,ADC,,1,2,9,5,467,29,6,9.7,21173,438,23.4%,,12,22,1,,,0.25,0.02,0.46,,18884,15796,2818,270,391,15.5%,0.21,71.4%,,0,0,0,0,887,8,96,0,,,,,,,,,,,,,,,,Flash Wolves,WIN ,5278,IEM Oakland 2016,6.21,2016-11-21
9,Tahm Kench,SwordArt,SUPPORT,,1,1,8,9,36,0,0,0.7,12879,266,14.2%,,78,6,17,,,1.61,0.35,0.12,,5528,236,5292,0,114,4.5%,0.19,64.3%,,0,0,0,0,211,9,258,1,,,,,,,,,,,,,,,,Flash Wolves,WIN ,5278,IEM Oakland 2016,6.21,2016-11-21
0,Ekko,MMD,TOP,,1,4,4,1.3,231,0,0,7.5,9705,316,21.4%,,10,3,1,,,0.33,0.03,0.1,,12591,4843,7748,0,410,25.3%,0.16,71.4%,,0,0,0,0,-1872,-54,-1461,-1,,,,,,,,,,,,,,,,Flash Wolves,LOSS,5279,IEM Oakland 2016,6.21,2016-11-21
1,Olaf,Karsa,JUNGLE,,4,3,2,2,105,64,4,3.4,9190,299,20.2%,,31,13,9,,,1.01,0.29,0.42,,9992,6285,879,2828,325,20.1%,0.2,85.7%,,0,0,0,0,-68,1,-127,0,,,,,,,,,,,,,,,,Flash Wolves,LOSS,5279,IEM Oakland 2016,6.21,2016-11-21
2,Ryze,Maple,MID,,2,4,3,1.3,249,8,0,8.1,10239,334,22.5%,,16,5,3,,,0.52,0.1,0.16,,13867,322,13420,125,452,27.9%,0.16,71.4%,,0,0,0,0,-1725,-23,-924,-1,,,,,,,,,,,,,,,,Flash Wolves,LOSS,5279,IEM Oakland 2016,6.21,2016-11-21
3,Ashe,DoubleRed,ADC,,0,4,5,1.3,257,4,0,8.4,9851,321,21.7%,,8,5,2,,,0.26,0.07,0.16,,10099,9234,865,0,329,20.3%,0.16,71.4%,,0,0,0,0,-547,-10,-903,-1,,,,,,,,,,,,,,,,Flash Wolves,LOSS,5279,IEM Oakland 2016,6.21,2016-11-21
4,Thresh,SwordArt,SUPPORT,,0,4,7,1.8,31,0,0,1,6432,210,14.2%,,38,12,12,,,1.24,0.39,0.39,,3216,420,2796,0,105,6.5%,0.23,100%,,0,0,0,0,-397,12,215,1,,,,,,,,,,,,,,,,Flash Wolves,LOSS,5279,IEM Oakland 2016,6.21,2016-11-21
